device,dataset,poems_with_term
allegory,public_domain_poetry,152
allegory,poetry_foundation,42
alliteration,public_domain_poetry,9869
alliteration,poetry_foundation,1983
anaphora,public_domain_poetry,772
anaphora,poetry_foundation,266
apostrophe,public_domain_poetry,1502
apostrophe,poetry_foundation,227
assonance,public_domain_poetry,159
assonance,poetry_foundation,51
caesura,public_domain_poetry,2878
caesura,poetry_foundation,1073
consonance,public_domain_poetry,64
consonance,poetry_foundation,12
enjambment,public_domain_poetry,19060
enjambment,poetry_foundation,10935
hyperbole,public_domain_poetry,7819
hyperbole,poetry_foundation,1587
imagery,public_domain_poetry,37551
imagery,poetry_foundation,13789
irony,public_domain_poetry,11135
irony,poetry_foundation,3987
metaphor,public_domain_poetry,31262
metaphor,poetry_foundation,12447
meter,public_domain_poetry,28547
meter,poetry_foundation,11101
metre,public_domain_poetry,16
onomatopoeia,public_domain_poetry,1701
onomatopoeia,poetry_foundation,462
oxymoron,public_domain_poetry,546
oxymoron,poetry_foundation,256
paradox,public_domain_poetry,1754
paradox,poetry_foundation,988
personification,public_domain_poetry,30518
personification,poetry_foundation,10409
rhyme,public_domain_poetry,36923
rhyme,poetry_foundation,12863
simile,public_domain_poetry,13113
simile,poetry_foundation,5024
sonnet,public_domain_poetry,2721
sonnet,poetry_foundation,443
symbol,public_domain_poetry,3441
symbol,poetry_foundation,1604
symbolism,public_domain_poetry,37543
symbolism,poetry_foundation,13789
