theme_50,count
nature,19762
death,19472
love,15378
loss,11800
time,9949
hope,9635
grief,9047
history,8891
identity,7371
religion,6642
war,6209
spirituality,5996
beauty,5920
loneliness,5811
existential,5674
family,5150
self,5005
violence,3907
politics,3659
home,3644
night,3273
social justice,2855
animals,2840
anxiety,2324
childhood,2134
memories,2124
writing,2054
thought,2029
aging,1912
body,1902
gender,1783
music,1723
landscapes,1592
environment,1590
despair,1510
survival,1405
heartache,1211
language,1177
birds,1159
desire,1148
weather,963
cities,859
dreams,769
oceans,766
america,738
mothers,710
earth,393
illness,390
ancestry,330
flowers,257
