column,value,count
title_key,song,74
title_key,to,40
title_key,sonnet,35
title_key,autumn,31
title_key,love,28
title_key,spring,27
title_key,a song,26
title_key,death,23
title_key,epitaph,20
title_key,dreams,20
title_key,night,20
title_key,life,19
title_key,lines,19
title_key,hope,18
title_key,summer,17
title_key,prayer,16
title_key,the dream,16
title_key,winter,16
title_key,nocturne,15
title_key,a dream,15
author_key,robert herrick,1356
author_key,madison julius cawein,1189
author_key,william wordsworth,999
author_key,ella wheeler wilcox,950
author_key,thomas moore,840
author_key,unknown,761
author_key,thomas hardy,691
author_key,rudyard kipling,661
author_key,james whitcomb riley,557
author_key,george macdonald,535
author_key,robert burns,513
author_key,algernon charles swinburne,494
author_key,john greenleaf whittier,493
author_key,henry lawson,467
author_key,emily elizabeth dickinson,440
author_key,paul laurence dunbar,428
author_key,william butler yeats,424
author_key,alfred lord tennyson,396
author_key,jean de la fontaine,392
author_key,john clare,374
primary_emotion,sadness,23221
primary_emotion,joy,10560
primary_emotion,fear,6018
primary_emotion,anticipation,3273
primary_emotion,anger,2951
primary_emotion,trust,2840
primary_emotion,surprise,1305
primary_emotion,disgust,1188
sentiment,negative,29154
sentiment,positive,18396
sentiment,neutral,3806
