split,column,pct_non_null
test,split,100.0
test,row_index,100.0
test,poem_id,100.0
test,author,100.0
test,title,100.0
test,poem,100.0
test,interpretation,100.0
test,source,100.0
test,title_key,100.0
test,author_key,100.0
test,poem_len_chars,100.0
test,poem_len_words,100.0
test,interpretation_len_chars,100.0
test,interpretation_len_words,100.0
test,title_len_chars,100.0
test,title_len_words,100.0
test,emotions,0.0
test,primary_emotion,0.0
test,sentiment,0.0
test,themes,0.0
test,themes_50,0.0
test,emotions__len,0.0
test,themes__len,0.0
test,themes_50__len,0.0
train,split,100.0
train,row_index,100.0
train,poem_id,100.0
train,author,100.0
train,title,100.0
train,poem,100.0
train,interpretation,100.0
train,source,100.0
train,title_key,100.0
train,author_key,100.0
train,poem_len_chars,100.0
train,poem_len_words,100.0
train,interpretation_len_chars,100.0
train,interpretation_len_words,100.0
train,title_len_chars,100.0
train,title_len_words,100.0
train,emotions,83.85
train,primary_emotion,83.85
train,sentiment,83.85
train,themes,83.85
train,themes_50,83.85
train,emotions__len,83.85
train,themes__len,83.85
train,themes_50__len,83.85
validation,split,100.0
validation,row_index,100.0
validation,poem_id,100.0
validation,author,100.0
validation,title,100.0
validation,poem,100.0
validation,interpretation,100.0
validation,source,100.0
validation,title_key,100.0
validation,author_key,100.0
validation,poem_len_chars,100.0
validation,poem_len_words,100.0
validation,interpretation_len_chars,100.0
validation,interpretation_len_words,100.0
validation,title_len_chars,100.0
validation,title_len_words,100.0
validation,emotions,0.0
validation,primary_emotion,0.0
validation,sentiment,0.0
validation,themes,0.0
validation,themes_50,0.0
validation,emotions__len,0.0
validation,themes__len,0.0
validation,themes_50__len,0.0
