column,dtype,non_null,null,pct_non_null
split,object,51356,0,100.0
row_index,int64,51356,0,100.0
poem_id,object,51356,0,100.0
author,object,51356,0,100.0
title,object,51356,0,100.0
poem,object,51356,0,100.0
interpretation,object,51356,0,100.0
source,object,51356,0,100.0
title_key,object,51356,0,100.0
author_key,object,51356,0,100.0
poem_len_chars,Int64,51356,0,100.0
poem_len_words,int64,51356,0,100.0
interpretation_len_chars,Int64,51356,0,100.0
interpretation_len_words,int64,51356,0,100.0
title_len_chars,Int64,51356,0,100.0
title_len_words,int64,51356,0,100.0
emotions,object,38755,12601,75.46
primary_emotion,object,38755,12601,75.46
sentiment,object,38755,12601,75.46
themes,object,38755,12601,75.46
themes_50,object,38755,12601,75.46
emotions__len,float64,38755,12601,75.46
themes__len,float64,38755,12601,75.46
themes_50__len,float64,38755,12601,75.46
