split,column,value,count,freq
test,author,Robert Herrick,71,0.02764797507788162
test,author,Madison Julius Cawein,62,0.024143302180685357
test,author,William Wordsworth,57,0.02219626168224299
test,author,Thomas Moore,47,0.018302180685358254
test,author,Ella Wheeler Wilcox,46,0.01791277258566978
test,author,Unknown,42,0.016355140186915886
test,author,Rudyard Kipling,35,0.013629283489096573
test,author,Thomas Hardy,28,0.010903426791277258
test,author,Henry Lawson,26,0.010124610591900311
test,author,Jean de La Fontaine,25,0.009735202492211837
test,author,George MacDonald,24,0.009345794392523364
test,author,James Whitcomb Riley,24,0.009345794392523364
test,author,Robert Burns,23,0.00895638629283489
test,author,Algernon Charles Swinburne,23,0.00895638629283489
test,author,John Greenleaf Whittier,23,0.00895638629283489
test,author,Emily Elizabeth Dickinson,23,0.00895638629283489
test,author,Paul Laurence Dunbar,21,0.008177570093457943
test,author,Paul Cameron Brown,21,0.008177570093457943
test,author,Percy Bysshe Shelley,20,0.00778816199376947
test,author,Francesco Petrarca (Petrarch),19,0.007398753894080997
test,author,Walter De La Mare,19,0.007398753894080997
test,author,William Lisle Bowles,19,0.007398753894080997
test,author,Sara Teasdale,18,0.007009345794392523
test,author,Henry Wadsworth Longfellow,18,0.007009345794392523
test,author,Jonathan Swift,17,0.00661993769470405
test,emotions,,2568,1.0
