column,value,count,freq
author,Robert Herrick,1356,0.026403925539372226
author,Madison Julius Cawein,1189,0.023152114650673728
author,William Wordsworth,999,0.019452449567723344
author,Ella Wheeler Wilcox,950,0.018498325414751927
author,Thomas Moore,840,0.016356414050938548
author,Unknown,761,0.014818132253290754
author,Thomas Hardy,691,0.013455097749045877
author,Rudyard Kipling,661,0.0128709401043695
author,James Whitcomb Riley,557,0.010845860269491393
author,George MacDonald,535,0.010417477996728717
author,Robert Burns,513,0.009989095723966042
author,Algernon Charles Swinburne,494,0.009619129215671002
author,John Greenleaf Whittier,493,0.00959965729418179
author,Henry Lawson,467,0.009093387335462264
author,Emily Elizabeth Dickinson,440,0.008567645455253525
author,Paul Laurence Dunbar,428,0.008333982397382974
author,William Butler Yeats,424,0.008256094711426123
author,Jean de La Fontaine,392,0.007632993223771322
author,John Clare,374,0.007282498636965496
author,Francesco Petrarca (Petrarch),374,0.007282498636965496
author,Edgar Lee Masters,371,0.007224082872497858
author,Walt Whitman,363,0.007068307500584158
author,Jonathan Swift,361,0.007029363657605732
author,Percy Bysshe Shelley,349,0.006795700599735182
author,Sara Teasdale,340,0.006620453306332269
emotions,,51356,1.0
